[2025-11-28 12:47:35,172] INFO [django.server:213] "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
[2025-11-28 12:47:58,119] INFO [django.server:213] "GET /v1/month_wise_customer_analytics HTTP/1.1" 301 0
[2025-11-28 12:47:58,838] INFO [django.server:213] "GET /v1/month_wise_customer_analytics/ HTTP/1.1" 200 5493
[2025-11-28 12:48:15,975] INFO [django.server:213] "GET /v1/month_wise_customer_analytics/ HTTP/1.1" 200 5493
[2025-11-28 12:51:05,569] INFO [django.server:213] "GET /v1/delivery_area_based_customers HTTP/1.1" 301 0
[2025-11-28 12:51:05,827] INFO [django.server:213] "GET /v1/delivery_area_based_customers/ HTTP/1.1" 200 143205
[2025-11-28 12:51:46,206] INFO [django.server:213] "GET /v1/delivery_area_based_customers?excel=true HTTP/1.1" 301 0
[2025-11-28 12:51:46,440] INFO [django.server:213] "GET /v1/delivery_area_based_customers/?excel=true HTTP/1.1" 200 19604
[2025-12-02 16:36:11,918] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2025-12-02 16:36:24,362] INFO [django.server:213] "GET /v1/delivery_area_based_customers?excel=true HTTP/1.1" 301 0
[2025-12-02 16:36:24,566] INFO [django.server:213] "GET /v1/delivery_area_based_customers/?excel=true HTTP/1.1" 200 19603
[2025-12-02 16:40:29,562] INFO [django.server:213] "GET /v1/delivery_area_based_customers?excel=true HTTP/1.1" 301 0
[2025-12-02 16:40:29,762] INFO [django.server:213] "GET /v1/delivery_area_based_customers/?excel=true HTTP/1.1" 200 19602
[2025-12-02 16:42:08,590] INFO [django.server:213] "GET /v1/delivery_area_based_customers?excel=true HTTP/1.1" 301 0
[2025-12-02 16:42:10,655] INFO [django.server:213] "GET /v1/delivery_area_based_customers/?excel=true HTTP/1.1" 200 19602
[2025-12-02 16:43:13,379] INFO [django.utils.autoreload:265] D:\REACTNATIVE\Django_DeliveryApp\backend\myapp\main\urls.py changed, reloading.
[2025-12-02 16:43:16,576] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2025-12-02 16:43:19,767] INFO [django.utils.autoreload:265] D:\REACTNATIVE\Django_DeliveryApp\backend\myapp\main\urls.py changed, reloading.
[2025-12-02 16:43:21,750] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2025-12-02 16:43:26,765] INFO [django.utils.autoreload:265] D:\REACTNATIVE\Django_DeliveryApp\backend\myapp\main\urls.py changed, reloading.
[2025-12-02 16:43:29,311] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2025-12-02 16:43:33,168] INFO [django.utils.autoreload:265] D:\REACTNATIVE\Django_DeliveryApp\backend\myapp\main\urls.py changed, reloading.
[2025-12-02 16:43:34,839] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2025-12-02 16:43:38,034] INFO [django.utils.autoreload:265] D:\REACTNATIVE\Django_DeliveryApp\backend\myapp\main\urls.py changed, reloading.
[2025-12-02 16:43:39,928] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2025-12-02 16:45:39,226] INFO [django.server:213] "GET /v1/customers/ HTTP/1.1" 200 60131
[2025-12-02 16:45:39,507] INFO [django.server:213] "GET /v1/customers/ HTTP/1.1" 200 60131
[2025-12-02 16:47:07,999] INFO [django.server:213] "GET /v1/products HTTP/1.1" 301 0
[2025-12-02 16:47:08,193] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 12372
[2025-12-02 16:47:08,283] INFO [django.server:213] "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
[2025-12-02 16:47:08,296] INFO [django.server:213] "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
[2025-12-02 16:47:08,299] INFO [django.server:213] "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
[2025-12-02 16:47:08,315] INFO [django.server:213] "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
[2025-12-02 16:47:08,319] INFO [django.server:213] "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
[2025-12-02 16:47:08,347] INFO [django.server:213] "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
[2025-12-02 16:47:08,348] INFO [django.server:213] "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
[2025-12-02 16:47:08,356] INFO [django.server:213] "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
[2025-12-02 16:47:08,366] INFO [django.server:213] "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
[2025-12-02 16:47:08,399] INFO [django.server:213] "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
[2025-12-02 16:47:08,405] INFO [django.server:213] "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
[2025-12-02 16:47:08,440] INFO [django.server:213] "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
[2025-12-02 16:47:09,064] WARNING [django.request:253] Not Found: /favicon.ico
[2025-12-02 16:47:09,066] WARNING [django.server:213] "GET /favicon.ico HTTP/1.1" 404 2353
[2025-12-02 16:47:58,036] INFO [django.server:213] "GET /v1/products/1 HTTP/1.1" 200 12939
[2025-12-02 16:48:04,533] WARNING [django.request:253] Not Found: /v1/docs
[2025-12-02 16:48:04,535] WARNING [django.server:213] "GET /v1/docs HTTP/1.1" 404 12869
[2025-12-02 16:48:16,263] WARNING [django.request:253] Not Found: /docs
[2025-12-02 16:48:16,264] WARNING [django.server:213] "GET /docs HTTP/1.1" 404 2332
[2025-12-02 16:48:22,578] INFO [django.server:213] "GET /v1/ HTTP/1.1" 200 5451
[2025-12-02 16:48:27,667] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 12372
[2025-12-02 16:48:30,952] WARNING [django.request:253] Not Found: /v1/products/docs
[2025-12-02 16:48:30,956] WARNING [django.server:213] "GET /v1/products/docs HTTP/1.1" 404 12896
[2025-12-02 16:48:50,126] INFO [django.server:213] "GET /v1/products/1 HTTP/1.1" 200 12939
[2025-12-02 16:50:19,618] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 835
